X,Y,Z
-12.893312,-6.127740,-7.256273
-12.982384,-6.106826,-7.229753
-13.027079,-6.096520,-7.216894
-13.072020,-6.086441,-7.204740
-13.162154,-6.066517,-7.181171
-13.253016,-6.047297,-7.159913
-13.344672,-6.028926,-7.141485
-13.436913,-6.011269,-7.125444
-13.529803,-5.994529,-7.112431
-13.623313,-5.978888,-7.102959
-13.717214,-5.964163,-7.096355
-13.811443,-5.950488,-7.092935
-13.905908,-5.938045,-7.093091
-14.000455,-5.926580,-7.095959
-14.094992,-5.916233,-7.101767
-14.189416,-5.907117,-7.110629
-14.283705,-5.898875,-7.121523
-14.377766,-5.891788,-7.134877
-14.471567,-5.885844,-7.150450
-14.565172,-5.880693,-7.167373
-14.658529,-5.876609,-7.185855
-14.751698,-5.873421,-7.205117
-14.844732,-5.871080,-7.223588
-14.937662,-5.869699,-7.240269
-14.984118,-5.869202,-7.248101
-15.030560,-5.868997,-7.255102
-15.123480,-5.869197,-7.268211
-15.216472,-5.870248,-7.279766
-15.309564,-5.871955,-7.290034
-15.402824,-5.874512,-7.299025
-15.496255,-5.877749,-7.307138
-15.589890,-5.881706,-7.314502
-15.683771,-5.886458,-7.321139
-15.777838,-5.891787,-7.327744
-15.872120,-5.897799,-7.333506
-15.966617,-5.904513,-7.336826
-16.061241,-5.911727,-7.337834
-16.155968,-5.919464,-7.336723
-16.250748,-5.927724,-7.333272
-16.345509,-5.936351,-7.327969
-16.440208,-5.945244,-7.321199
-16.534767,-5.954349,-7.312563
-16.629124,-5.963526,-7.302152
-16.723272,-5.972626,-7.290526
-16.817196,-5.981553,-7.276828
-16.910870,-5.990182,-7.260056
-16.957642,-5.994405,-7.250879
-17.004272,-5.998332,-7.240487
-17.097424,-6.005881,-7.218264
-17.190374,-6.012770,-7.192286
-17.283161,-6.018901,-7.163350
-17.375824,-6.024179,-7.133559
-17.468414,-6.028514,-7.103596
-17.560999,-6.031832,-7.073887
-17.653652,-6.034041,-7.044798
-17.746460,-6.035113,-7.016835
-17.839493,-6.035099,-6.990675
-17.932821,-6.034042,-6.966731
-18.026497,-6.031999,-6.945401
-18.120539,-6.029022,-6.927512
-18.214941,-6.025148,-6.914190
-18.309654,-6.020391,-6.906755
-18.404589,-6.014740,-6.903949
-18.499624,-6.008142,-6.903010
-18.594604,-6.000497,-6.903368
-18.689350,-5.991691,-6.905353
-18.783688,-5.981585,-6.909116
-18.877451,-5.969980,-6.915283
-18.924168,-5.963775,-6.919100
-18.970486,-5.956631,-6.924893
-19.062653,-5.941250,-6.937593
-19.153830,-5.923529,-6.951604
-19.243912,-5.903184,-6.965129
-19.332794,-5.879980,-6.976707
-19.420395,-5.853744,-6.987768
-19.506666,-5.824363,-6.999646
-19.591537,-5.791700,-7.010756
-19.674999,-5.755755,-7.021504
-19.757145,-5.716748,-7.033390
-19.838093,-5.674914,-7.046661
-19.917992,-5.630518,-7.061373
-19.997009,-5.583874,-7.077390
-20.075348,-5.535313,-7.094334
-20.153172,-5.485138,-7.111660
-20.230602,-5.433596,-7.128654
-20.307714,-5.380872,-7.144476
-20.384533,-5.327100,-7.158659
-20.461048,-5.272361,-7.171213
-20.537212,-5.216691,-7.182347
-20.612955,-5.160084,-7.192492
-20.650711,-5.131542,-7.197385
-20.688175,-5.102494,-7.202318
-20.762745,-5.043842,-7.211042
-20.836517,-4.984019,-7.217788
-20.909309,-4.922883,-7.223133
-20.980888,-4.860242,-7.227423
-21.050932,-4.795831,-7.230783
-21.119188,-4.729496,-7.233374
-21.185482,-4.661185,-7.235353
-21.249596,-4.590815,-7.236823
-21.311329,-4.518344,-7.237878
-21.370514,-4.443766,-7.238605
-21.426998,-4.367123,-7.239077
-21.480694,-4.288500,-7.239363
-21.531559,-4.208010,-7.239520
-21.579611,-4.125804,-7.239593
-21.624941,-4.042060,-7.239620
-21.667669,-3.956951,-7.239627
-21.707933,-3.870644,-7.239628
-21.746058,-3.783372,-7.239628
-21.782402,-3.695346,-7.239628
-21.817184,-3.606691,-7.239628
-21.834208,-3.562220,-7.239628
-21.850574,-3.517501,-7.239628
-21.882698,-3.427846,-7.239628
-21.913643,-3.337775,-7.239628
-21.943455,-3.247320,-7.239628
-21.972046,-3.156471,-7.239628
-21.999336,-3.065226,-7.239628
-22.025333,-2.973607,-7.239628
-22.049961,-2.881613,-7.239628
-22.073093,-2.789232,-7.239628
-22.094599,-2.696458,-7.239628
-22.114079,-2.603234,-7.239628
-22.131205,-2.509551,-7.239628
-22.145990,-2.415480,-7.239628
-22.158386,-2.321068,-7.239628
-22.168316,-2.226357,-7.239628
-22.175184,-2.131375,-7.239628
-22.178848,-2.036216,-7.239628
-22.179766,-1.941002,-7.239628
-22.177999,-1.845796,-7.239628
-22.173002,-1.750703,-7.239628
-22.164602,-1.655849,-7.239628
-22.159649,-1.608494,-7.239628
-22.153366,-1.561299,-7.239628
-22.139441,-1.467096,-7.239628
-22.122070,-1.373472,-7.239628
-22.101294,-1.280545,-7.239628
-22.077883,-1.188251,-7.239628
-22.051386,-1.096791,-7.239628
-22.021345,-1.006434,-7.239628
-21.988174,-0.917187,-7.239628
-21.952261,-0.828998,-7.239627
-21.912649,-0.742414,-7.239627
-21.869289,-0.657636,-7.239628
-21.823051,-0.574413,-7.239628
-21.773609,-0.493048,-7.239627
-21.720413,-0.414086,-7.239628
-21.663807,-0.337540,-7.239628
-21.604366,-0.263172,-7.239628
-21.541801,-0.191402,-7.239627
-21.475922,-0.122660,-7.239628
-21.407272,-0.056696,-7.239628
-21.336329,0.006801,-7.239628
-21.262955,0.067486,-7.239627
-21.225613,0.097038,-7.239628
-21.187214,0.125193,-7.239628
-21.109661,0.180441,-7.239628
-21.030672,0.233625,-7.239628
-20.950186,0.284523,-7.239628
-20.868380,0.333282,-7.239628
-20.785685,0.380509,-7.239628
-20.702219,0.426369,-7.239628
-20.617958,0.470757,-7.239628
-20.533077,0.513946,-7.239628
-20.447788,0.556326,-7.239628
-20.362051,0.597804,-7.239628
-20.275930,0.638475,-7.239628
-20.189569,0.678627,-7.239628
-20.102970,0.718259,-7.239628
-20.016140,0.757390,-7.239628
-19.929157,0.796173,-7.239628
-19.842033,0.834643,-7.239628
-19.754765,0.872780,-7.239629
-19.667381,0.910658,-7.239629
-19.579897,0.948299,-7.239430
-19.492289,0.985650,-7.238978
-19.448452,1.004251,-7.238724
-19.404575,1.022754,-7.239537
-19.316753,1.059608,-7.241819
-19.228806,1.096151,-7.245104
-19.140749,1.132429,-7.248898
-19.052574,1.168420,-7.252942
-18.964260,1.204068,-7.256546
-18.875839,1.239444,-7.259352
-18.787279,1.274479,-7.262178
-18.698570,1.309135,-7.266061
-18.609756,1.343517,-7.271882
-18.520784,1.377493,-7.280337
-18.431656,1.411052,-7.291964
-18.342419,1.444307,-7.306956
-18.253017,1.477113,-7.324429
-18.163469,1.509506,-7.342710
-18.073780,1.541500,-7.360073
-17.983915,1.572987,-7.374869
-17.893917,1.604071,-7.387857
-17.803751,1.634643,-7.402094
-17.713408,1.664656,-7.418985
-17.622936,1.694256,-7.438114
-17.577667,1.708948,-7.448163
-17.532282,1.723256,-7.458465
-17.441463,1.751693,-7.478797
-17.350506,1.779617,-7.497796
-17.259378,1.806891,-7.513999
-17.168127,1.833661,-7.526229
-17.076725,1.859784,-7.533374
-16.985176,1.885219,-7.537054
-16.893530,1.910149,-7.539821
-16.801762,1.934366,-7.541626
-16.709900,1.957944,-7.542205
-16.617956,1.980906,-7.541224
-16.525936,2.003122,-7.538146
-16.433884,2.024791,-7.532896
-16.341808,2.045694,-7.524773
-16.249737,2.065820,-7.513388
-16.157698,2.085381,-7.499433
-16.065733,2.104143,-7.483519
-15.973864,2.122211,-7.466299
